Model,MAE,MSE,R2,,
LinearRegression,25162.471620455555,991284413.9349878,0.979556794246841,,
RidgeRegression,25162.685621283228,991288318.72646,0.979556713718534,,
LassoRegression,25162.494325405372,991284278.4968791,0.9795567970399738,,
RandamForestReg,32181.31643604001,1631735924.3839254,0.9663487968053641,,
SVM,178750.94141754817,48441382209.88047,0.0009959507454184724,,----
ElasticNet,27676.619356000436,1201110552.517843,0.9752295609491715,,
PolynomailReg,63101.984780162835,6885629980.297738,0.8579980190865995,,
knnRegressor,121760.1555524,22725376828.629726,0.5313357621738812,,
RobustRegression,143657.2346917259,32406080584.93272,0.3316911234168942,,
SDGRegressor,1.5597916510431437e+18,2.569904783724881e+36,-5.299900969002947e+25,,----
ANN,141460.6323363451,31280273727.04328,0.3549085783779693,,----
LGBM,28270.95614805824,1268420951.4017372,0.9738414221724824,,
XGBoost,31456.628234,1552542251.681599,0.9679820037060711,,
