mpg,cyl,disp,hp,wt,acc,yr,origin,car_type,car_name
29,4,114,58,2659,18.8,74,1,1,ford coupe 517
13,8,328,203,4070,10.6,77,1,0,dodge wagon 434
15,8,442,167,3783,15,77,1,0,plymouth deluxe 253
25,6,257,115,3258,18.5,75,1,0,oldsmobile wagon 856
40,4,103,69,2592,13,72,3,1,nissan gl 732
25,6,186,131,3095,18.3,81,2,0,bmw gl 790
24,4,104,86,2064,15.6,81,2,1,volkswagen lx 289
29,4,106,94,2489,18.3,77,3,1,datsun custom 608
14,8,456,186,3576,10,72,1,0,chevrolet iii 148
30,4,122,96,2756,14.7,76,2,1,peugeot ii 957
36,4,113,84,2614,16.8,77,3,1,mazda wagon 272
21,6,246,106,2756,9.1,72,1,0,chevrolet gl 904
38,4,127,66,2451,15.7,80,3,1,mitsubishi sport 433
14,8,337,212,3561,9.6,72,1,0,amc ii 507
25,6,231,105,2668,10.5,73,1,0,amc gl 593
11,8,324,200,4471,20.8,75,1,0,plymouth iii 340
14,8,334,218,4227,9,77,1,0,chevrolet sport 729
25,4,99,66,2266,15.5,77,2,1,renault ii 249
36,4,123,62,1805,15.3,78,2,1,peugeot sport 920
35,4,116,77,1878,12.9,73,1,1,amc gl 276
25,4,121,64,2527,15.4,77,2,1,renault coupe 679
35,4,86,97,1801,8.2,81,1,1,oldsmobile coupe 166
28,4,75,60,2431,17,76,2,1,volvo gl 632
28,4,104,95,1875,18.6,79,2,1,peugeot wagon 151
35,4,83,94,1911,17.8,76,1,1,ford coupe 791
13,8,336,193,4542,17.1,73,1,0,amc ii 467
20,6,246,139,2565,17.9,79,1,0,amc gl 523
31,4,105,86,2101,15.6,80,1,1,oldsmobile sport 682
38,4,88,87,2791,20.7,70,3,1,mazda ii 705
25,4,79,68,2475,11.1,75,3,1,honda gl 803
25,6,182,92,3138,18,73,2,0,audi deluxe 634
11,8,429,185,3996,10.7,76,1,0,buick wagon 110
20,6,216,113,3184,13.2,78,1,0,plymouth gl 205
17,6,252,107,2991,18,76,3,0,nissan lx 949
10,8,378,180,3579,16.6,75,1,0,amc sport 559
32,4,82,99,2216,10.9,76,3,1,mitsubishi custom 435
36,4,139,62,1743,15.8,71,2,1,renault deluxe 791
20,6,189,102,3214,9.2,75,3,0,mitsubishi ii 435
14,8,313,207,3521,10.7,70,1,0,plymouth wagon 950
30,4,102,69,2419,17.4,78,3,1,isuzu wagon 175
17,8,377,204,3856,15,79,1,0,oldsmobile custom 981
17,6,258,137,2531,13.4,82,1,0,plymouth wagon 208
26,4,101,66,1839,10,71,1,1,oldsmobile wagon 649
16,8,302,216,3945,17.2,70,1,0,dodge sport 312
25,4,125,60,2583,10.3,78,2,1,audi sedan 824
11,8,426,230,4046,13.4,75,1,0,pontiac sport 111
15,8,363,227,4012,12.8,72,1,0,ford coupe 374
37,4,92,68,1850,15,71,3,1,toyota custom 414
14,8,394,193,3882,8.8,71,1,0,ford iii 372
15,8,400,184,4286,15.7,73,1,0,pontiac coupe 863
40,4,92,93,2445,20.9,82,2,1,renault lx 330
14,8,417,217,4041,10.1,81,1,0,ford deluxe 779
14,8,458,161,4408,12.4,77,1,0,amc gl 773
22,6,190,125,3415,19,81,3,0,mazda wagon 488
17,8,381,208,4331,10.4,71,1,0,dodge lx 693
19,6,216,128,2778,16.3,70,1,0,chevrolet sport 326
39,4,80,69,2601,12.8,71,2,1,peugeot wagon 482
34,4,91,66,2697,14,79,1,1,dodge sedan 575
36,4,107,69,2002,16.9,73,3,1,nissan coupe 203
20,6,226,119,2700,20.4,81,1,0,amc coupe 946
40,4,114,97,1976,10.1,76,3,1,toyota sedan 831
